Year,State ab,State,Population,Index offenses total,Violent crime total,Murder and nonnegligent Manslaughter,Rape (legacy),Rape (revised),Rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Index offense rate,Violent Crime rate,Murder and nonnegligent manslaughter rate,Rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
1961,TX,Texas,9788000,208310,15441,788,932.0,0.0,932,3042,10679,192869,56814,120707,15348,2128.3,157.8,8.1,9.5,31.1,109.1,1970.5,580.4,1233.2,156.8
1961,UT,Utah,916000,19210,451,16,62.0,0.0,62,186,187,18759,3558,13575,1626,2097.1,49.2,1.7,6.8,20.3,20.4,2047.9,388.4,1482.0,177.5
1961,VT,Vermont,395000,3226,79,6,36.0,0.0,36,16,21,3147,1324,1489,334,816.7,20.0,1.5,9.1,4.1,5.3,796.7,335.2,377.0,84.6
1961,VA,Virginia,4059000,71851,7555,349,414.0,0.0,414,1065,5727,64296,17201,41626,5469,1770.1,186.1,8.6,10.2,26.2,141.1,1584.0,423.8,1025.5,134.7
1961,WA,Washington,2902000,64752,1687,63,180.0,0.0,180,902,542,63065,13694,44450,4921,2231.3,58.1,2.2,6.2,31.1,18.7,2173.2,471.9,1531.7,169.6
1961,WV,West Virginia,1850000,12252,1167,82,81.0,0.0,81,216,788,11085,4396,5426,1263,662.3,63.1,4.4,4.4,11.7,42.6,599.2,237.6,293.3,68.3
1961,WI,Wisconsin,4022000,47937,1268,63,101.0,0.0,101,361,743,46669,9021,34197,3451,1191.8,31.5,1.6,2.5,9.0,18.5,1160.3,224.3,850.2,85.8
1961,WY,Wyoming,338000,6646,288,11,12.0,0.0,12,121,144,6358,1226,4747,385,1966.3,85.2,3.3,3.6,35.8,42.6,1881.1,362.7,1404.4,113.9
1962,AL,Alabama,3358000,41112,5283,316,218.0,0.0,218,754,3995,35829,11722,21306,2801,1224.3,157.3,9.4,6.5,22.5,119.0,1067.0,349.1,634.5,83.4
1962,AK,Alaska,246000,4074,225,11,46.0,0.0,46,34,134,3849,865,2424,560,1656.1,91.5,4.5,18.7,13.8,54.5,1564.6,351.6,985.4,227.6
1962,AZ,Arizona,1509000,48304,2610,86,198.0,0.0,198,851,1475,45694,11693,28605,5396,3201.1,173.0,5.7,13.1,56.4,97.7,3028.1,774.9,1895.6,357.6
1962,AR,Arkansas,1823000,19866,1667,144,124.0,0.0,124,400,999,18199,5683,11169,1347,1089.7,91.4,7.9,6.8,21.9,54.8,998.3,311.7,612.7,73.9
1962,CA,California,16970000,604297,39846,657,2946.0,0.0,2946,15598,20645,564451,158523,348373,57555,3561.0,234.8,3.9,17.4,91.9,121.7,3326.2,934.1,2052.9,339.2
1962,CO,Colorado,1907000,50862,2990,96,283.0,0.0,283,1624,987,47872,12988,28740,6144,2667.1,156.8,5.0,14.8,85.2,51.8,2510.3,681.1,1507.1,322.2
1962,CT,Connecticut,2597000,34736,938,34,81.0,0.0,81,258,565,33798,10259,19741,3798,1337.5,36.1,1.3,3.1,9.9,21.8,1301.4,395.0,760.1,146.2
1962,DE,Delaware,469000,10495,338,20,44.0,0.0,44,140,134,10157,2814,6479,864,2237.8,72.1,4.3,9.4,29.9,28.6,2165.7,600.0,1381.4,184.2
1962,DC,District of Columbia,784000,22208,4750,91,82.0,0.0,82,1572,3005,17458,5022,9855,2581,2832.7,605.9,11.6,10.5,200.5,383.3,2226.8,640.6,1257.0,329.2
1962,FL,Florida,5459000,138517,10489,420,318.0,0.0,318,3457,6294,128028,40575,78266,9187,2537.4,192.1,7.7,5.8,63.3,115.3,2345.3,743.3,1433.7,168.3
1962,GA,Georgia,4100000,63360,6200,422,439.0,0.0,439,1301,4038,57160,18872,30436,7852,1545.3,151.2,10.3,10.7,31.7,98.5,1394.1,460.3,742.3,191.5
